종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3100","0","0.00","3115","3125","3050","66987","206814115","143441690300","46271513"
"095570","AJ네트웍스","KOSPI",,"5220","-10","-0.19","5220","5250","5170","42089","219313330","244412379900","46822295"
"006840","AK홀딩스","KOSPI",,"18450","-200","-1.07","18250","18450","17850","38043","685399400","244417500450","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","11550","-200","-1.70","11650","11800","11450","54979","636909650","235553252550","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","23450","-700","-2.90","23900","23900","23150","147023","3441684450","358349322450","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","14000","-250","-1.75","13950","14350","13850","83352","1167700900","211152256000","15082304"
"027410","BGF","KOSPI",,"5010","-20","-0.40","5040","5040","4975","114268","570866205","479541122910","95716791"
"282330","BGF리테일","KOSPI",,"157000","0","0.00","156500","159500","155000","33568","5280593500","2713573242000","17283906"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)","4075","0","0.00","0","0","0","0","0","120352455875","29534345"
"138930","BNK금융지주","KOSPI",,"8500","70","0.83","8400","8500","8340","1053087","8888505850","2770449591000","325935246"
"001460","BYC","KOSPI",,"494500","-11500","-2.27","505000","505000","493500","608","301001500","308872117500","624615"
"001465","BYC우","KOSPI",,"185000","-3500","-1.86","187500","187500","185000","71","13152000","39846225000","215385"
"013720","CBI","KOSDAQ","중견기업부","2890","-40","-1.37","2900","3075","2860","264301","782469170","161369195880","55837092"
"001040","CJ","KOSPI",,"80000","-500","-0.62","79900","80500","79500","38969","3116419400","2334159840000","29176998"
"079160","CJ CGV","KOSPI",,"24000","-150","-0.62","23550","24100","23500","107477","2568912400","979361088000","40806712"
"035760","CJ ENM","KOSDAQ","우량기업부","133000","-800","-0.60","133000","133400","130400","63896","8437739600","2916577482000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","42650","-1850","-4.16","43550","44600","42650","20916","904588950","250512110800","5873672"
"00104K","CJ4우(전환)","KOSPI",,"69000","-500","-0.72","69000","69200","68400","3540","243355600","291629328000","4226512"
